freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier,N_Stack,W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,5.0,1024,36,1,36,3,5,32,288,20667308.01273829,39145755609.2092,726095541.4668095,289.7809887751475,M3D,5228193.0875,107020.6,0,5335213.6875,2197920433.9675336,33756851.964542754,0.0,2231677285.9320765,3.873754496686838,0.4178576535482875,0.7358215875593638,0,5.8726195691520005,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,32,20667308.01273829,39145755609.2092,726095541.4668095,265.7522817438645,M3D,5228193.0875,962521.4,0,6190714.487500001,2197920433.9675336,31988281.249845818,0.0,2229908715.2173796,3.338436630290211,0.4045477549176824,0.4536315552333575,0,1.7292742656000002,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,72,20667308.01273829,39145755609.2092,726095541.4668095,269.65213988893214,M3D,5228193.0875,427833.4,0,5656026.487500001,2197920433.9675336,32264006.140154023,0.0,2230184440.1076875,3.6540331022872157,0.41276505846558464,0.495810262650989,0,2.2276116480000003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,18,20667308.01273829,39145755609.2092,726095541.4668095,264.35480396414835,M3D,5228193.0875,1711084.6,0,6939277.6875,2197920433.9675336,31891831.279662386,0.0,2229812265.247196,2.9783082538932177,0.39357828678923573,0.43903608821397194,0,1.5678989598720006,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,128,20667308.01273829,39145755609.2092,726095541.4668095,274.9651767718087,M3D,5228193.0875,240692.6,0,5468885.6875,2197920433.9675336,32650403.17220587,0.0,2230570837.1397395,3.7790711296044606,0.4157205455628735,0.5560495940649051,0,3.018032627712001,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,32,20667308.01273829,39145755609.2092,726095541.4668095,265.7522817438645,M3D,5228193.0875,962521.4,0,6190714.487500001,2197920433.9675336,31988281.249845818,0.0,2229908715.2173796,3.338436630290211,0.4045477549176824,0.4536315552333575,0,1.7292742656000002,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,1352,20667308.01273829,39145755609.2092,726095541.4668095,392.4636929849412,M3D,5228193.0875,22862.607100591715,0,5251055.694600592,2197920433.9675336,41207403.22008214,0.0,2239127837.187616,3.9358386607838667,0.4192144545345443,2.2227907258574033,0,47.32398182400002,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,50,20667308.01273829,39145755609.2092,726095541.4668095,267.5218860843537,M3D,5228193.0875,616043.576,0,5844236.663500001,2197920433.9675336,32112329.299692117,0.0,2230032763.2672257,3.5363571331420105,0.40983476582329714,0.47252443347462214,0,1.9466941562880005,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,72,20667308.01273829,39145755609.2092,726095541.4668095,269.65213988893214,M3D,5228193.0875,427833.4,0,5656026.487500001,2197920433.9675336,32264006.140154023,0.0,2230184440.1076875,3.6540331022872157,0.41276505846558464,0.495810262650989,0,2.2276116480000003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,648,20667308.01273829,39145755609.2092,726095541.4668095,323.2157572139547,M3D,5228193.0875,47610.822222222225,0,5275803.909722223,2197920433.9675336,36259676.41187243,0.0,2234180110.379406,3.9173760750760063,0.41881454840401044,1.1819824719476402,0,15.525080481792005,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,578,20667308.01273829,39145755609.2092,726095541.4668095,316.63710417408777,M3D,5228193.0875,53366.78685121108,0,5281559.874351212,2197920433.9675336,35771571.88225524,0.0,2233692005.8497887,3.9131068291215896,0.4187216471746694,1.090694243201222,0,13.297990336512003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,1058,20667308.01273829,39145755609.2092,726095541.4668095,362.82018438303885,M3D,5228193.0875,29192.668052930057,0,5257385.755552931,2197920433.9675336,39132581.7112116,0.0,2237053015.6787453,3.931099784890079,0.4191120944807276,1.7608912141216209,0,31.964728492032005,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,18,20667308.01273829,39145755609.2092,726095541.4668095,264.35480396414835,M3D,5228193.0875,1711084.6,0,6939277.6875,2197920433.9675336,31891831.279662386,0.0,2229812265.247196,2.9783082538932177,0.39357828678923573,0.43903608821397194,0,1.5678989598720006,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,578,20667308.01273829,39145755609.2092,726095541.4668095,316.63710417408777,M3D,5228193.0875,53366.78685121108,0,5281559.874351212,2197920433.9675336,35771571.88225524,0.0,2233692005.8497887,3.9131068291215896,0.4187216471746694,1.090694243201222,0,13.297990336512003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,1250,20667308.01273829,39145755609.2092,726095541.4668095,382.056686171342,M3D,5228193.0875,24721.42304,0,5252914.51054,2197920433.9675336,40486172.179746516,0.0,2238406606.14728,3.9344459102216933,0.41918439142419023,2.058093576784277,0,41.65739121868802,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,128,20667308.01273829,39145755609.2092,726095541.4668095,274.9651767718087,M3D,5228193.0875,240692.6,0,5468885.6875,2197920433.9675336,32650403.17220587,0.0,2230570837.1397395,3.7790711296044606,0.4157205455628735,0.5560495940649051,0,3.018032627712001,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,648,20667308.01273829,39145755609.2092,726095541.4668095,323.2157572139547,M3D,5228193.0875,47610.822222222225,0,5275803.909722223,2197920433.9675336,36259676.41187243,0.0,2234180110.379406,3.9173760750760063,0.41881454840401044,1.1819824719476402,0,15.525080481792005,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,1352,20667308.01273829,39145755609.2092,726095541.4668095,392.4636929849412,M3D,5228193.0875,22862.607100591715,0,5251055.694600592,2197920433.9675336,41207403.22008214,0.0,2239127837.187616,3.9358386607838667,0.4192144545345443,2.2227907258574033,0,47.32398182400002,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,968,20667308.01273829,39145755609.2092,726095541.4668095,353.95891434142345,M3D,5228193.0875,31899.145454545454,0,5260092.232954546,2197920433.9675336,38499893.64672239,0.0,2236420327.614256,3.929077114514711,0.41906834472557636,1.6273232654243592,0,27.85915753267201,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,128,20667308.01273829,39145755609.2092,726095541.4668095,274.9651767718087,M3D,5228193.0875,240692.6,0,5468885.6875,2197920433.9675336,32650403.17220587,0.0,2230570837.1397395,3.7790711296044606,0.4157205455628735,0.5560495940649051,0,3.018032627712001,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,18,20667308.01273829,39145755609.2092,726095541.4668095,264.35480396414835,M3D,5228193.0875,1711084.6,0,6939277.6875,2197920433.9675336,31891831.279662386,0.0,2229812265.247196,2.9783082538932177,0.39357828678923573,0.43903608821397194,0,1.5678989598720006,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,648,20667308.01273829,39145755609.2092,726095541.4668095,323.2157572139547,M3D,5228193.0875,47610.822222222225,0,5275803.909722223,2197920433.9675336,36259676.41187243,0.0,2234180110.379406,3.9173760750760063,0.41881454840401044,1.1819824719476402,0,15.525080481792005,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,18,20667308.01273829,39145755609.2092,726095541.4668095,264.35480396414835,M3D,5228193.0875,1711084.6,0,6939277.6875,2197920433.9675336,31891831.279662386,0.0,2229812265.247196,2.9783082538932177,0.39357828678923573,0.43903608821397194,0,1.5678989598720006,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,1352,20667308.01273829,39145755609.2092,726095541.4668095,392.4636929849412,M3D,5228193.0875,22862.607100591715,0,5251055.694600592,2197920433.9675336,41207403.22008214,0.0,2239127837.187616,3.9358386607838667,0.4192144545345443,2.2227907258574033,0,47.32398182400002,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,8,20667308.01273829,39145755609.2092,726095541.4668095,263.3428191121864,M3D,5228193.0875,3849836.6,0,9078029.6875,2197920433.9675336,31822955.503953774,0.0,2229743389.4714875,2.2766292603334572,0.36527918470775866,0.428663769777342,0,1.4567714488320003,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,1352,20667308.01273829,39145755609.2092,726095541.4668095,392.4636929849412,M3D,5228193.0875,22862.607100591715,0,5251055.694600592,2197920433.9675336,41207403.22008214,0.0,2239127837.187616,3.9358386607838667,0.4192144545345443,2.2227907258574033,0,47.32398182400002,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,18,20667308.01273829,39145755609.2092,726095541.4668095,264.35480396414835,M3D,5228193.0875,1711084.6,0,6939277.6875,2197920433.9675336,31891831.279662386,0.0,2229812265.247196,2.9783082538932177,0.39357828678923573,0.43903608821397194,0,1.5678989598720006,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,1352,20667308.01273829,39145755609.2092,726095541.4668095,392.4636929849412,M3D,5228193.0875,22862.607100591715,0,5251055.694600592,2197920433.9675336,41207403.22008214,0.0,2239127837.187616,3.9358386607838667,0.4192144545345443,2.2227907258574033,0,47.32398182400002,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,1352,20667308.01273829,39145755609.2092,726095541.4668095,392.4636929849412,M3D,5228193.0875,22862.607100591715,0,5251055.694600592,2197920433.9675336,41207403.22008214,0.0,2239127837.187616,3.9358386607838667,0.4192144545345443,2.2227907258574033,0,47.32398182400002,NA,2,1.0
